url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_spaces,number_of_zeros,number_of_uppercase,number_of_lowercase,number_of_double_slashes,target
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
38,1,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,32,1,0
46,22,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,38,1,0
40,1,0,0,0,0,0,0,32,3,0,0,0,0,1,0,0,0,0,0,32,1,0
36,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,31,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
33,10,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,26,1,0
31,9,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,24,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
40,22,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,31,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
74,10,0,2,3,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,57,1,0
39,17,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,32,1,0
40,16,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,31,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
32,1,0,0,0,0,0,0,24,2,0,0,0,0,1,0,0,0,0,0,25,1,0
51,28,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,42,1,0
50,10,0,0,1,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,41,1,0
24,1,0,1,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,17,1,0
41,12,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,34,1,0
42,1,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,36,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
33,10,0,3,0,0,0,0,16,2,0,0,0,0,0,0,0,0,1,0,24,1,0
29,7,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,21,1,0
26,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,22,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
47,24,0,2,0,0,0,0,16,4,0,0,0,0,0,0,0,0,1,0,34,1,0
33,8,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,25,1,0
25,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
68,37,0,4,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,50,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
42,17,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,34,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
31,1,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
29,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,23,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
34,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,0,28,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
25,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,1,0,0,0,0,0,21,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
25,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
44,21,0,2,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,33,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
25,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,20,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
65,30,0,4,1,0,0,0,16,3,0,0,0,0,1,0,0,0,0,0,49,1,0
28,1,0,0,0,0,0,0,20,3,0,0,0,0,0,0,1,0,0,0,21,1,0
25,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
24,0,0,1,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,18,1,0
32,7,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,25,1,0
37,18,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,29,1,0
29,4,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,22,1,0
23,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
45,21,0,1,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,36,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
16,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,12,1,0
50,20,0,1,0,1,0,0,16,3,0,0,0,0,0,0,0,0,0,0,39,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
32,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
28,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,22,1,0
47,22,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,38,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
74,20,0,10,1,0,0,0,23,3,0,0,0,0,0,0,0,0,1,0,49,1,0
42,18,0,5,0,0,0,0,17,3,0,0,0,0,0,0,0,0,1,0,29,1,0
25,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
34,8,0,2,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,23,1,0
29,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
34,1,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,27,1,0
50,27,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,40,1,0
43,19,0,2,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,33,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,1,0,0,0,18,1,0
51,23,0,0,0,0,0,0,21,3,0,0,0,0,1,0,0,0,0,0,42,1,0
23,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
58,27,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,49,1,0
34,1,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,28,1,0
40,1,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,0,0,33,1,0
67,44,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,53,1,0
30,1,0,0,0,0,0,0,22,3,0,0,0,0,0,0,0,0,0,0,23,1,0
33,13,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,26,1,0
36,13,0,4,0,0,0,0,16,2,0,0,0,0,0,0,0,0,3,0,25,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
35,6,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,29,1,0
101,49,0,5,2,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,81,1,0
28,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,22,1,0
32,13,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,24,1,0
23,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,19,1,0
51,22,0,4,1,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,35,1,0
46,26,0,6,0,0,0,0,13,3,0,0,0,0,0,0,0,0,1,0,32,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
21,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
50,21,0,0,0,0,0,0,22,3,0,0,0,0,1,0,0,0,0,0,41,1,0
23,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
31,1,0,0,0,0,0,0,23,2,0,0,0,0,1,0,0,0,0,0,24,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
25,7,0,4,0,0,0,0,11,2,0,0,0,0,0,0,0,0,1,0,14,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
31,1,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
30,1,0,0,0,0,0,0,22,3,0,0,0,0,1,0,0,0,0,0,22,1,0
37,13,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,30,1,0
58,29,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,48,1,0
37,9,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,30,1,0
25,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
26,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,22,1,0
43,1,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,37,1,0
36,13,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,29,1,0
52,29,0,6,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,36,1,0
92,14,0,6,3,0,0,0,15,4,0,0,0,0,0,0,0,0,1,0,69,1,0
40,4,0,2,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,30,1,0
33,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,28,1,0
50,29,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,41,1,0
72,49,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,59,1,0
29,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
45,18,0,2,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,35,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,1,0,1,0,0,0,19,1,0
36,12,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,29,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
30,1,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,25,1,0
30,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
49,0,0,0,0,0,0,0,42,3,0,0,0,0,1,0,0,0,0,0,42,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
51,25,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,0,40,1,0
62,42,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,50,1,0
40,19,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,32,1,0
34,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,29,1,0
52,10,0,3,0,0,0,0,35,6,0,0,0,0,0,0,0,0,2,0,39,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,1,0,0,0,0,0,19,1,0
38,9,0,0,0,0,0,0,22,1,0,0,0,0,2,0,0,0,0,0,30,1,0
20,1,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,14,1,0
36,13,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,30,1,0
55,31,0,4,0,0,0,0,17,3,0,0,0,0,0,0,0,0,2,0,41,1,0
19,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,14,1,0
54,33,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,44,1,0
38,7,0,0,0,0,0,0,24,2,0,0,0,0,1,0,0,0,0,0,30,1,0
19,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,13,1,0
37,14,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,29,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
32,1,0,0,0,0,0,0,24,2,0,0,0,0,2,0,0,0,0,0,24,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,1,0,1,0,0,0,21,1,0
52,24,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,43,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
42,18,0,5,0,0,0,0,17,3,0,0,0,0,0,0,0,0,1,0,29,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
34,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,1,0,0,0,29,1,0
25,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,19,1,0
37,1,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,31,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
36,6,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,29,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
86,64,0,14,0,0,0,0,15,3,0,0,0,0,0,0,0,0,3,0,58,1,0
35,12,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,28,1,0
42,18,0,5,0,0,0,0,17,3,0,0,0,0,0,0,0,0,2,0,29,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
29,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
29,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,23,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
40,18,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,32,1,0
36,12,0,5,0,0,0,0,17,2,0,0,0,0,0,0,0,0,1,0,24,1,0
35,1,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,29,1,0
27,1,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,20,1,0
27,3,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,20,1,0
25,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
77,17,0,0,1,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,63,1,0
34,12,0,3,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,24,1,0
43,11,0,1,0,0,1,1,25,3,0,0,0,0,0,0,0,0,0,0,33,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
39,16,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,32,1,0
24,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
30,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
62,38,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,53,1,0
59,37,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,49,1,0
55,27,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,45,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,27,1,0
22,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
21,1,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
19,1,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,13,1,0
37,9,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,30,1,0
70,50,0,1,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,58,1,0
34,11,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,27,1,0
17,1,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,12,1,0
29,0,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
49,26,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,39,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
40,15,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,32,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
54,28,0,0,0,0,0,0,19,3,0,0,0,0,1,0,0,0,0,0,43,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
34,1,0,0,0,0,0,0,26,2,0,0,0,0,1,0,0,0,0,0,27,1,0
35,1,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,29,1,0
20,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
28,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,23,1,0
36,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,31,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
48,24,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,41,1,0
71,40,0,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,58,1,0
54,31,0,9,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,33,1,0
29,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,1,0,0,0,23,1,0
44,21,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,36,1,0
35,8,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,28,1,0
52,25,0,0,0,0,0,0,20,3,0,0,0,0,1,0,0,0,0,0,43,1,0
58,37,0,2,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,43,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,1,0,0,0,17,1,0
31,11,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,23,1,0
37,13,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,28,1,0
47,21,0,2,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,37,1,0
20,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,15,1,0
23,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
87,50,0,0,0,0,0,0,30,4,0,0,0,0,0,0,0,0,0,0,75,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
58,8,0,0,1,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,48,1,0
51,25,0,0,0,0,0,0,19,3,0,0,0,0,1,0,0,0,0,0,40,1,0
57,27,0,3,0,0,0,0,23,3,0,0,0,0,0,0,0,0,2,0,44,1,0
38,1,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,32,1,0
28,9,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,20,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,16,1,0
30,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,1,0,0,0,24,1,0
33,1,0,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,25,1,0
53,27,0,0,0,0,0,0,19,3,0,0,0,0,1,0,0,0,0,0,43,1,0
27,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
24,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
25,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
35,13,0,2,0,0,0,0,15,3,0,0,0,0,0,0,0,0,1,0,26,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
35,1,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,29,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
47,21,0,4,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,34,1,0
26,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
15,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,11,1,0
32,0,0,0,0,0,0,0,25,2,0,0,0,0,2,0,0,0,0,0,25,1,0
28,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,24,1,0
50,30,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,42,1,0
37,5,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,30,1,0
29,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,23,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
48,19,0,0,0,0,0,0,22,3,0,0,0,0,0,0,1,0,0,0,39,1,0
